1905,9,1,2,45,36,45,143,230,6.5
1906,7,2,9,56,0,50.9,142.1,10,3.7
1906,12,26,18,12,0,50.9,142.1,25,6
1907,1,19,12,12,0,50.5,141.4,20,6.5
1909,1,22,10,10,0,50.4,142.5,22,6.1
1910,12,27,21,0,0,46.7,142.4,10,4
1911,2,21,18,55,0,46.4,142.3,20,4.7
1911,9,6,0,54,20,45.5,143,360,6.2
1912,5,6,19,0,0,46.7,142.3,15,5
1912,12,2,1,0,0,50.5,142.5,15,5.5
1914,4,11,17,38,10,47.1,141.8,15,4.5
1914,9,11,16,52,14,45.5,142.5,330,5.2
1916,8,14,1,58,24,47,142,20,5
1916,8,18,16,17,6,47,142,15,4.5
1917,1,29,6,1,0,47.1,141.9,12,4
1917,3,24,22,2,40,47.1,141.8,15,4.5
1919,6,18,3,2,1,46,141.6,20,5
1919,6,18,4,58,18,46,141.6,15,4.5
1921,10,7,9,35,11,46.4,142.2,22,5.1
1923,9,4,1,0,0,47.7,142.3,14,5.2
1923,9,23,18,30,0,47.1,141.8,10,4
1923,12,17,11,34,4,47.2,142.5,10,4.8
1923,12,18,10,58,44,47.1,142.6,10,4.8
1923,12,20,4,43,51,47.2,142.5,10,4.5
1924,1,8,13,48,47,47.3,142.4,15,4.5
1924,3,15,10,31,21,49.15,142.29,15,6.8
1924,3,15,12,46,44,49.2,141.9,13,5
1924,3,16,20,51,3,49.3,141.9,13,5.5
1924,3,17,14,4,9,49.3,141.9,18,5.2
1924,4,11,13,38,44,49.7,141.9,13,5.5
1924,11,25,17,26,46,47,143.5,340,5.1
1926,1,15,14,52,53,45.6,142.3,340,5
1928,4,22,4,55,9,46,143.4,340,6.5
1928,8,25,1,48,32,49.05,141.39,17,5.5
1928,11,7,13,44,36,47.3,142.5,20,4.9
1930,7,30,12,59,0,51.9,143.3,20,4
1931,3,1,14,23,6,46.3,142.8,320,5.3
1931,3,20,15,39,54,49.8,142,20,5.2
1931,4,4,18,40,0,49.5,142,10,4.5
1931,8,4,15,18,26,49.5,142,9,4.5
1931,8,4,15,43,32,49.5,142,10,3.7
1932,7,3,3,7,0,49.5,142,17,4.5
1932,7,10,0,43,29,53.54,142.44,14,5.5
1932,11,6,12,47,45,51.46,138.79,20,5.5
1933,4,3,10,32,0,49.8,141.6,20,5.5
1935,5,12,0,30,0,47.1,142.5,10,4
1935,7,13,22,40,50,51,142,17,5.5
1935,10,25,17,38,18,53.19,142.75,20,5.6
1935,11,29,19,53,33,49.7,142,20,5.2
1936,11,23,15,3,35,46.9,141.9,20,4.9
1937,5,11,0,0,0,51.9,143.3,15,4.5
1937,8,3,11,12,0,47.1,141.8,15,4.5
1937,8,23,17,35,0,49.5,142,15,4.5
1938,3,13,20,50,0,47.3,142.3,10,4
1938,9,8,11,57,56,47.4,142.5,15,4.7
1939,1,10,20,6,0,50,142,10,4.5
1939,1,22,4,41,4,53.6,143,13,5.5
1939,4,21,4,29,5,47.6,140.8,540,5.7
1939,5,29,5,47,0,46.5,141.5,12,4.5
1939,5,29,11,54,0,46.6,141.5,10,4.5
1939,5,30,0,4,0,46.4,141.6,14,4.8
1942,8,31,10,4,38,53.7,143.1,20,5
1944,4,29,6,25,28,54,145,20,5.5
1945,1,23,19,31,17,49,143.5,600,5
1945,2,11,1,20,50,52.7,141.9,10,5
1948,5,8,8,31,50,54.32,141.5,13,5
1949,9,15,15,56,0,51,142.5,10,5.2
1949,10,30,6,0,0,47,142.6,10,5.2
1950,2,28,10,20,59,45.6,143.5,340,6.8
1951,2,2,16,44,36,46.7,142.5,10,5.5
1951,2,2,18,25,53,46.8,142.4,11,4.9
1951,2,8,10,50,16,46.8,142.3,10,4.5
1951,3,15,4,43,18,46.7,142.5,10,4.5
1951,4,6,22,54,13,45.6,143.4,370,5.2
1951,8,10,23,0,22,46,143.8,340,5.7
1952,5,29,16,29,34,47.1,144.7,20,4.9
1952,8,3,5,8,40,46.6,143.5,20,4.5
1952,8,11,14,28,10,50.2,143.8,20,4.7
1952,9,19,9,31,0,46.2,145.2,20,4.5
1953,4,1,8,32,42,49.4,141.5,20,4.5
1953,6,7,1,58,6,53.6,143,13,5.2
1953,11,24,10,0,37,46.5,141.7,360,6
1954,4,8,16,22,7,49.2,142.2,10,4.5
1954,7,10,8,11,44,50.3,141.8,10,5
1954,8,21,14,41,29,45.8,142,320,4
1956,4,9,16,58,32,45,142.7,320,4
1956,4,26,14,52,21,51.53,142.82,13,5.5
1956,6,26,17,37,31,46.7,143.6,20,4.5
1956,11,21,6,22,12,48.94,141.74,15,5
1957,1,9,3,18,35,48.8,144.7,20,4.5
1957,1,15,12,26,3,48.7,144.7,20,4.5
1957,5,12,6,48,29,53.22,142.51,18,5.5
1957,7,7,23,4,3,49.1,141.7,20,4.7
1957,8,4,23,3,57,45.7,142.9,320,4.6
1957,10,20,4,8,51,49.3,142.8,20,4.9
1957,11,9,12,50,7,49.1,141.7,20,4.7
1958,8,27,18,44,4,46,143.5,300,3.5
1958,9,5,11,59,32,46.1,143,340,5
1959,3,17,14,55,35,51.1,142.7,20,4.3
1959,3,19,1,58,48,51.2,142.6,10,4
1959,6,26,5,4,0,45,141.5,240,4.5
1959,7,22,19,32,27,50.59,142.56,16,5.5
1959,7,25,15,58,54,50.2,142.5,15,4.7
1959,7,25,19,23,58,50.14,142.69,11,5.2
1959,8,8,5,4,21,50,142.8,15,4.7
1960,1,9,18,0,5,46.8,141.7,20,3.7
1960,2,9,11,9,59,46.2,143.7,320,4.8
1960,2,14,14,44,11,54,143.5,20,3.6
1960,3,13,18,55,5,49.3,142.2,20,4
1960,4,4,17,10,37,49.3,142.6,15,4.5
1960,4,18,14,46,20,45.5,142.5,280,4.2
1960,4,25,4,1,7,46.2,143.8,360,4.7
1960,8,1,12,40,23,46,142.7,330,5
1960,8,9,14,2,33,46.8,142.78,8,4.7
1961,3,20,11,38,42,46.1,143.1,330,5.2
1961,6,1,5,26,18,47,142,20,3.6
1961,8,30,5,47,5,49.4,141.4,20,3.7
1961,12,2,7,24,26,46.8,142.1,20,3.7
1962,3,12,15,2,40,47.19,143.5,14,4.8
1962,3,18,7,29,3,46.6,142.1,20,3.7
1962,3,23,5,58,13,47.3,143.4,20,4.1
1962,4,10,13,7,47,45.7,142.8,320,4.2
1962,4,18,6,31,34,50,142.7,20,3.7
1962,5,2,6,15,15,52.59,142.17,18,5
1962,5,2,10,20,58,52.51,142.03,12,4.5
1962,5,3,2,11,2,52.5,142.1,15,4.5
1962,5,3,7,33,34,52.4,142,15,4.5
1962,5,3,22,35,50,52.5,142.1,15,3.8
1962,5,4,7,44,29,52.3,142.3,20,4.3
1962,5,6,11,16,57,52.53,142.17,10,4.5
1962,5,7,15,39,12,52.52,142,15,5
1962,5,13,1,18,30,52.3,142.4,20,4.2
1962,5,16,0,25,49,52.3,142.4,20,4.2
1962,6,17,13,3,10,46.4,145.3,20,3.6
1962,6,20,4,34,50,45.5,142.9,300,5.3
1962,7,22,18,58,14,45.8,143.2,310,4
1962,10,9,4,28,42,45.9,143.1,320,4.2
1962,10,14,13,59,51,48.3,144.9,40,3.9
1962,11,16,17,15,25,47,141.8,20,4
1962,12,6,2,27,50,46.3,141,20,4.7
1962,12,23,6,12,27,45.1,142.4,280,3.7
1963,2,11,19,40,37,50,142.7,20,4.2
1963,2,15,17,6,25,50.1,142.5,20,4
1963,3,2,19,51,32,54.2,143,20,4.2
1963,3,9,6,44,25,46.05,141.32,22,5
1963,3,9,7,1,23,46.1,141.4,15,3.7
1963,3,18,8,8,10,51,142,20,4.1
1963,3,22,18,0,15,45.7,144,20,3.7
1963,6,4,21,15,59,46.2,145.2,20,3.7
1963,6,6,16,25,34,46.69,142.39,10,4.3
1963,6,6,19,25,20,46.6,142.4,10,3.5
1963,6,11,17,26,3,46.1,140.7,20,4
1963,7,23,3,22,25,50.4,142.8,20,4.5
1963,8,7,4,33,41,53.92,142.18,15,5
1963,8,27,2,0,17,48.1,143.4,20,3.7
1963,8,29,3,42,11,53.1,143.4,20,4.5
1963,9,16,3,14,15,47.9,140.9,20,3.6
1963,9,27,20,59,55,46.2,143.9,20,3.4
1963,12,16,11,9,37,45.6,142.7,350,5.2
1963,12,26,16,4,44,46.1,143.3,20,4.2
1964,1,14,8,53,5,48.21,145.63,496,3.3
1964,3,1,4,5,45,45.6,142.7,300,5.2
1964,5,2,16,36,46,47.3,142.5,8,3.7
1964,5,10,8,12,34,46.69,142.41,10,5
1964,5,10,8,33,54,46.6,142.4,10,3.4
1964,5,20,23,58,5,45.8,143.5,320,4
1964,6,7,8,59,41,49.3,142,20,3.7
1964,6,21,19,45,50,49.6,142.3,15,3.8
1964,6,27,14,13,33,51.84,143,11,5
1964,10,2,0,58,36,51.92,143.04,13,5.8
1964,10,2,17,49,15,51.9,143.2,10,4.3
1964,10,3,3,1,28,51.8,143.2,10,4.6
1964,10,3,12,38,20,51.8,143.2,11,4.5
1964,10,4,17,22,28,51.8,143.3,10,4.3
1964,11,6,11,34,11,51.7,143.4,10,4
1964,12,11,21,3,50,51.9,143.2,10,3.4
1965,2,8,20,52,12,51.9,143.4,10,4.2
1965,2,11,21,1,3,48.3,143.6,20,3.6
1965,2,18,19,38,48,51.9,143.1,10,4.2
1965,2,19,18,7,25,49.5,141.4,20,3.5
